生徒ID,氏名,クラス,第1希望,第2希望,第3希望,第4希望
221,小川 健太,3-1,2,17,23,4
222,小川 悠真,3-1,19,22,2,20
223,長谷川 美咲,3-1,6,2,4,28
224,佐々木 莉子,3-1,30,16,5,19
225,中村 拓海,3-1,8,21,25,7
226,森 凛,3-1,11,9,12,29
227,前田 大翔,3-1,15,28,16,22
228,山本 大翔,3-1,11,30,4,6
229,吉田 愛莉,3-1,7,6,12,19
230,林 湊,3-1,8,2,25,30
231,吉田 蓮,3-1,2,19,8,22
232,伊藤 芽依,3-1,4,19,21,2
233,藤田 拓海,3-1,20,8,18,19
234,石川 大和,3-1,8,20,19,16
235,阿部 千尋,3-2,19,5,4,15
236,佐々木 颯太,3-2,4,20,19,30
237,山崎 悠人,3-2,4,2,19,30
238,山田 拓海,3-2,19,17,6,4
239,石田 遥,3-2,15,4,21,2
240,渡辺 樹,3-2,8,22,17,19
241,石井 遥,3-2,6,30,19,16
242,村上 悠人,3-2,2,29,19,12
243,小林 七海,3-2,4,24,17,19
244,清水 陽菜,3-2,15,25,24,16
245,斎藤 大翔,3-2,4,28,5,16
246,清水 琴音,3-2,5,19,17,4
247,加藤 陽菜,3-2,16,15,4,28
248,鈴木 大翔,3-2,19,24,18,23
249,鈴木 翼,3-2,2,19,20,10
250,井上 美咲,3-2,26,16,19,6
251,山口 翔,3-2,6,2,12,14
252,小林 拓海,3-2,19,6,24,29
253,藤田 芽依,3-2,16,3,5,4
254,石井 芽依,3-2,4,2,28,24
255,山崎 葵,3-2,29,27,23,28
256,鈴木 大翔,3-2,20,15,16,6
257,池田 湊,3-2,28,15,29,5
258,岡田 莉子,3-2,2,15,26,19
259,橋本 美咲,3-2,16,24,11,26
260,石田 莉子,3-2,8,9,18,4
261,藤井 琴音,3-2,2,15,20,6
262,森 千尋,3-2,4,29,9,22
263,長谷川 悠真,3-2,28,20,4,15
264,小川 陸,3-2,2,4,7,13
265,藤井 心春,3-2,19,16,7,4
266,岡田 蓮,3-2,19,15,14,18
267,鈴木 杏,3-2,8,19,29,22
268,坂本 咲良,3-2,13,29,21,20
269,中村 葵,3-3,19,4,24,2
270,石井 太陽,3-3,1,6,4,19
271,田中 結翔,3-3,20,27,25,19
272,阿部 大和,3-3,16,18,30,14
273,木村 琴音,3-3,29,13,16,17
274,清水 莉子,3-3,14,29,6,28
275,林 莉子,3-3,19,14,18,28
276,池田 陸,3-3,4,19,8,29
277,木村 健太,3-3,6,19,8,12
278,林 結翔,3-3,4,24,5,18
279,村上 咲良,3-3,3,19,5,2
280,小林 陽翔,3-3,19,2,10,3
281,岡田 健太,3-3,29,4,19,26
282,渡辺 遥,3-3,19,20,6,2
283,山田 さくら,3-3,5,19,24,2
284,石川 翼,3-3,26,4,27,30
285,高橋 陽翔,3-3,4,19,25,6
286,小川 拓真,3-3,6,19,28,7
287,林 葵,3-3,16,26,4,15
288,森 莉子,3-3,22,7,19,1
289,石川 七海,3-3,18,20,4,24
290,小林 健太,3-3,16,2,19,4
291,清水 楓,3-3,6,5,20,29
292,清水 陽菜,3-3,19,1,2,4
293,清水 颯太,3-3,10,15,26,19
294,小林 健太,3-3,19,28,8,5
295,岡田 拓真,3-3,4,19,10,17
296,青木 大翔,3-3,22,23,20,19
297,石田 太陽,3-3,16,8,27,4
298,山口 楓,3-3,4,16,24,12
299,小林 太陽,3-3,14,27,12,2
300,鈴木 美咲,3-3,10,18,19,6
