生徒ID,氏名,クラス,前半講師ID,前半授業名,前半希望順位,後半講師ID,後半授業名,後半希望順位
63,鈴木 優斗,1-2,17,薬剤師と薬のはなし,2,11,マンガ家になるには,4
64,小川 結翔,1-2,7,警察官の仕事,1,10,建築デザインの世界,3
65,鈴木 大翔,1-2,27,声優・アナウンサー,3,29,公務員の仕事,1
66,阿部 大和,1-2,13,弁護士のお仕事,3,19,鉄道運転士の仕事,1
67,石井 紬,1-2,20,パイロットの視点,3,7,警察官の仕事,2
68,池田 咲良,1-2,24,環境保護とSDGs,1,13,弁護士のお仕事,2
69,佐々木 蓮,1-3,19,鉄道運転士の仕事,1,21,料理人の技,2
70,山口 花音,1-3,19,鉄道運転士の仕事,1,13,弁護士のお仕事,3
71,清水 蒼,1-3,23,翻訳・通訳の世界,4,20,パイロットの視点,2
72,佐々木 樹,1-3,27,声優・アナウンサー,3,28,大工とものづくり,2
73,青木 颯太,1-3,19,鉄道運転士の仕事,1,24,環境保護とSDGs,2
74,橋本 樹,1-3,18,保育士の仕事,2,22,銀行と金融のしくみ,1
75,山本 七海,1-3,7,警察官の仕事,2,15,美容師・ヘアメイク,1
76,村上 澪,1-3,11,マンガ家になるには,4,29,公務員の仕事,1
77,遠藤 澪,1-3,19,鉄道運転士の仕事,1,27,声優・アナウンサー,2
78,小川 遥,1-3,12,プロサッカー選手の話,4,6,消防士の一日,1
79,山田 翼,1-3,19,鉄道運転士の仕事,1,7,警察官の仕事,-
80,林 千尋,1-3,22,銀行と金融のしくみ,2,7,警察官の仕事,3
81,後藤 千尋,1-3,28,大工とものづくり,2,1,プログラミング入門,1
82,渡辺 莉子,1-3,20,パイロットの視点,1,14,農業とスマート農業,3
83,村上 悠人,1-3,5,看護師のリアル,1,6,消防士の一日,3
84,木村 咲良,1-3,7,警察官の仕事,3,11,マンガ家になるには,1
85,岡田 澪,1-3,16,新聞記者の取材現場,2,4,パティシエ体験,1
86,山本 葵,1-3,29,公務員の仕事,2,19,鉄道運転士の仕事,1
87,高橋 湊,1-3,6,消防士の一日,1,30,起業家の挑戦,-
88,後藤 蒼,1-3,25,科学者の研究生活,4,17,薬剤師と薬のはなし,1
89,山田 湊,1-3,25,科学者の研究生活,1,12,プロサッカー選手の話,4
90,後藤 樹,1-3,5,看護師のリアル,1,24,環境保護とSDGs,2
91,渡辺 芽依,1-3,19,鉄道運転士の仕事,1,22,銀行と金融のしくみ,3
92,松本 光,1-3,21,料理人の技,4,20,パイロットの視点,2
93,前田 心春,1-3,8,宇宙とロケット開発,1,27,声優・アナウンサー,2
94,山口 結菜,1-3,18,保育士の仕事,1,3,YouTube動画のつくり方,4
95,石井 愛莉,1-3,17,薬剤師と薬のはなし,3,5,看護師のリアル,1
96,斎藤 花音,1-3,19,鉄道運転士の仕事,1,13,弁護士のお仕事,2
97,佐々木 七海,1-3,2,ゲームクリエイターの仕事,1,21,料理人の技,3
98,青木 遥,1-3,21,料理人の技,4,5,看護師のリアル,2
99,石川 澪,1-3,27,声優・アナウンサー,1,11,マンガ家になるには,2
100,木村 蓮,1-3,15,美容師・ヘアメイク,1,11,マンガ家になるには,3
101,鈴木 澪,2-1,29,公務員の仕事,2,2,ゲームクリエイターの仕事,1
102,藤田 澪,2-1,20,パイロットの視点,2,19,鉄道運転士の仕事,1
103,池田 さくら,2-1,4,パティシエ体験,1,14,農業とスマート農業,3
104,石川 千尋,2-1,22,銀行と金融のしくみ,-,7,警察官の仕事,1
105,長谷川 陽翔,2-1,5,看護師のリアル,2,2,ゲームクリエイターの仕事,1
106,橋本 琴音,2-1,19,鉄道運転士の仕事,1,10,建築デザインの世界,3
107,斎藤 愛莉,2-1,20,パイロットの視点,1,17,薬剤師と薬のはなし,4
108,井上 陽菜,2-1,14,農業とスマート農業,2,26,ファッションデザイン,1
109,中村 花音,2-1,1,プログラミング入門,2,6,消防士の一日,1
110,林 さくら,2-1,28,大工とものづくり,1,30,起業家の挑戦,-
111,阿部 葵,2-1,24,環境保護とSDGs,1,29,公務員の仕事,2
112,林 さくら,2-1,27,声優・アナウンサー,1,15,美容師・ヘアメイク,2
113,清水 楓,2-1,21,料理人の技,2,7,警察官の仕事,1
114,森 千尋,2-1,12,プロサッカー選手の話,3,24,環境保護とSDGs,2
115,井上 遥,2-1,20,パイロットの視点,1,25,科学者の研究生活,4
116,岡田 優斗,2-1,10,建築デザインの世界,3,8,宇宙とロケット開発,1
117,後藤 悠真,2-1,9,獣医師と動物たち,1,23,翻訳・通訳の世界,3
118,藤田 蒼,2-1,29,公務員の仕事,2,7,警察官の仕事,3
119,加藤 樹,2-1,16,新聞記者の取材現場,1,13,弁護士のお仕事,2
120,渡辺 翔,2-1,13,弁護士のお仕事,1,7,警察官の仕事,3
121,後藤 拓真,2-1,6,消防士の一日,3,24,環境保護とSDGs,1
122,渡辺 七海,2-1,30,起業家の挑戦,4,2,ゲームクリエイターの仕事,1
123,吉田 心春,2-1,20,パイロットの視点,2,29,公務員の仕事,1
124,橋本 七海,2-1,27,声優・アナウンサー,1,22,銀行と金融のしくみ,3
125,吉田 凛,2-1,18,保育士の仕事,3,21,料理人の技,4
126,遠藤 陸,2-1,25,科学者の研究生活,2,2,ゲームクリエイターの仕事,1
127,小川 莉子,2-1,5,看護師のリアル,1,13,弁護士のお仕事,3
128,遠藤 心春,2-1,12,プロサッカー選手の話,3,19,鉄道運転士の仕事,1
129,佐々木 優斗,2-1,19,鉄道運転士の仕事,1,11,マンガ家になるには,2
130,斎藤 蓮,2-1,3,YouTube動画のつくり方,2,24,環境保護とSDGs,1
131,田中 杏,2-1,29,公務員の仕事,1,18,保育士の仕事,4
132,松本 杏,2-1,24,環境保護とSDGs,2,19,鉄道運転士の仕事,1
133,小林 蒼,2-1,22,銀行と金融のしくみ,1,5,看護師のリアル,2
134,遠藤 拓海,2-1,12,プロサッカー選手の話,4,27,声優・アナウンサー,1
135,小林 拓真,2-2,6,消防士の一日,3,25,科学者の研究生活,-
136,吉田 紬,2-2,15,美容師・ヘアメイク,3,25,科学者の研究生活,1
137,森 颯太,2-2,27,声優・アナウンサー,1,28,大工とものづくり,2
138,石川 千尋,2-2,20,パイロットの視点,3,13,弁護士のお仕事,1
139,小川 拓海,2-2,1,プログラミング入門,3,21,料理人の技,2
140,松本 健太,2-2,3,YouTube動画のつくり方,4,23,翻訳・通訳の世界,2
141,松本 樹,2-2,18,保育士の仕事,3,26,ファッションデザイン,2
142,高橋 心春,2-2,13,弁護士のお仕事,2,19,鉄道運転士の仕事,1
143,阿部 花音,2-2,30,起業家の挑戦,1,11,マンガ家になるには,-
144,遠藤 陸,2-2,28,大工とものづくり,2,8,宇宙とロケット開発,1
145,林 悠真,2-2,26,ファッションデザイン,1,22,銀行と金融のしくみ,-
146,橋本 拓真,2-2,12,プロサッカー選手の話,3,19,鉄道運転士の仕事,1
147,中村 花音,2-2,25,科学者の研究生活,-,27,声優・アナウンサー,1
148,田中 翔,2-2,26,ファッションデザイン,-,2,ゲームクリエイターの仕事,1
149,石田 結菜,2-2,5,看護師のリアル,1,18,保育士の仕事,3
150,青木 陽翔,2-2,19,鉄道運転士の仕事,1,23,翻訳・通訳の世界,2
151,山田 颯太,2-2,6,消防士の一日,1,30,起業家の挑戦,3
152,井上 楓,2-2,21,料理人の技,4,1,プログラミング入門,3
153,村上 颯太,2-2,6,消防士の一日,1,26,ファッションデザイン,-
154,山本 愛莉,2-2,14,農業とスマート農業,2,19,鉄道運転士の仕事,1
155,村上 心春,2-2,15,美容師・ヘアメイク,1,28,大工とものづくり,2
156,石川 七海,2-2,29,公務員の仕事,2,13,弁護士のお仕事,1
157,渡辺 大和,2-2,14,農業とスマート農業,2,19,鉄道運転士の仕事,1
158,山崎 優斗,2-2,19,鉄道運転士の仕事,1,17,薬剤師と薬のはなし,4
159,山本 颯太,2-2,30,起業家の挑戦,1,13,弁護士のお仕事,3
160,藤田 咲良,2-2,24,環境保護とSDGs,1,20,パイロットの視点,3
161,山崎 七海,2-2,9,獣医師と動物たち,3,10,建築デザインの世界,1
162,岡田 樹,2-2,29,公務員の仕事,3,6,消防士の一日,1
163,小林 千尋,2-2,11,マンガ家になるには,2,2,ゲームクリエイターの仕事,1
164,石井 悠人,2-2,29,公務員の仕事,2,18,保育士の仕事,3
165,田中 莉子,2-2,25,科学者の研究生活,1,28,大工とものづくり,2
166,山本 悠人,2-2,8,宇宙とロケット開発,2,9,獣医師と動物たち,-
167,前田 千尋,2-2,24,環境保護とSDGs,1,8,宇宙とロケット開発,2
168,林 蓮,2-2,23,翻訳・通訳の世界,2,29,公務員の仕事,1
169,佐藤 凛,2-3,7,警察官の仕事,4,6,消防士の一日,3
170,鈴木 大翔,2-3,25,科学者の研究生活,1,18,保育士の仕事,2
171,橋本 心春,2-3,7,警察官の仕事,4,10,建築デザインの世界,3
172,田中 陸,2-3,18,保育士の仕事,3,20,パイロットの視点,2
173,藤田 さくら,2-3,4,パティシエ体験,1,14,農業とスマート農業,4
174,斎藤 楓,2-3,5,看護師のリアル,1,20,パイロットの視点,2
175,青木 湊,2-3,14,農業とスマート農業,1,9,獣医師と動物たち,4
176,山崎 颯太,2-3,6,消防士の一日,2,1,プログラミング入門,1
177,松本 太陽,2-3,25,科学者の研究生活,-,1,プログラミング入門,1
178,高橋 七海,2-3,9,獣医師と動物たち,4,17,薬剤師と薬のはなし,1
179,坂本 美咲,2-3,1,プログラミング入門,1,27,声優・アナウンサー,2
180,山崎 陽菜,2-3,19,鉄道運転士の仕事,1,10,建築デザインの世界,2
181,渡辺 七海,2-3,22,銀行と金融のしくみ,1,12,プロサッカー選手の話,-
182,石川 心春,2-3,5,看護師のリアル,2,24,環境保護とSDGs,1
183,中村 光,2-3,5,看護師のリアル,2,19,鉄道運転士の仕事,1
184,加藤 芽依,2-3,27,声優・アナウンサー,2,15,美容師・ヘアメイク,1
185,伊藤 凛,2-3,3,YouTube動画のつくり方,1,5,看護師のリアル,2
186,遠藤 愛莉,2-3,28,大工とものづくり,1,13,弁護士のお仕事,3
187,山崎 陸,2-3,30,起業家の挑戦,3,26,ファッションデザイン,2
188,遠藤 湊,2-3,12,プロサッカー選手の話,1,13,弁護士のお仕事,2
189,渡辺 琴音,2-3,8,宇宙とロケット開発,1,13,弁護士のお仕事,3
190,坂本 葵,2-3,8,宇宙とロケット開発,2,29,公務員の仕事,3
191,山本 翔,2-3,6,消防士の一日,1,14,農業とスマート農業,2
192,村上 光,2-3,29,公務員の仕事,1,30,起業家の挑戦,4
193,森 杏,2-3,9,獣医師と動物たち,4,8,宇宙とロケット開発,2
194,阿部 莉子,2-3,2,ゲームクリエイターの仕事,1,7,警察官の仕事,3
195,加藤 翔,2-3,24,環境保護とSDGs,2,5,看護師のリアル,1
196,石川 結翔,2-3,27,声優・アナウンサー,3,2,ゲームクリエイターの仕事,1
197,森 結翔,2-3,28,大工とものづくり,2,6,消防士の一日,3
198,橋本 蓮,2-3,24,環境保護とSDGs,2,11,マンガ家になるには,4
199,松本 結翔,2-3,14,農業とスマート農業,4,8,宇宙とロケット開発,1
200,近藤 光,2-3,6,消防士の一日,2,21,料理人の技,3
201,阿部 陸,3-1,7,警察官の仕事,2,2,ゲームクリエイターの仕事,1
202,吉田 愛莉,3-1,24,環境保護とSDGs,2,22,銀行と金融のしくみ,4
203,藤井 莉子,3-1,18,保育士の仕事,-,2,ゲームクリエイターの仕事,1
204,岡田 葵,3-1,19,鉄道運転士の仕事,1,21,料理人の技,2
205,斎藤 優斗,3-1,8,宇宙とロケット開発,1,28,大工とものづくり,2
206,木村 湊,3-1,15,美容師・ヘアメイク,1,10,建築デザインの世界,2
207,村上 颯太,3-1,17,薬剤師と薬のはなし,3,25,科学者の研究生活,2
208,加藤 七海,3-1,20,パイロットの視点,2,6,消防士の一日,1
209,鈴木 さくら,3-1,27,声優・アナウンサー,2,23,翻訳・通訳の世界,3
210,橋本 咲良,3-1,2,ゲームクリエイターの仕事,1,15,美容師・ヘアメイク,2
211,加藤 結翔,3-1,28,大工とものづくり,2,2,ゲームクリエイターの仕事,1
212,岡田 愛莉,3-1,27,声優・アナウンサー,2,13,弁護士のお仕事,3
213,加藤 千尋,3-1,1,プログラミング入門,3,27,声優・アナウンサー,2
214,井上 心春,3-1,28,大工とものづくり,1,11,マンガ家になるには,3
215,後藤 杏,3-1,4,パティシエ体験,1,5,看護師のリアル,2
216,池田 芽依,3-1,16,新聞記者の取材現場,1,1,プログラミング入門,4
217,橋本 樹,3-1,23,翻訳・通訳の世界,-,18,保育士の仕事,1
218,鈴木 優斗,3-1,29,公務員の仕事,1,21,料理人の技,3
219,鈴木 悠人,3-1,25,科学者の研究生活,1,9,獣医師と動物たち,3
220,森 結翔,3-1,21,料理人の技,1,8,宇宙とロケット開発,2
221,小川 健太,3-1,17,薬剤師と薬のはなし,2,23,翻訳・通訳の世界,3
222,小川 悠真,3-1,22,銀行と金融のしくみ,2,19,鉄道運転士の仕事,1
223,長谷川 美咲,3-1,3,YouTube動画のつくり方,-,6,消防士の一日,1
224,佐々木 莉子,3-1,30,起業家の挑戦,1,16,新聞記者の取材現場,2
225,中村 拓海,3-1,25,科学者の研究生活,3,21,料理人の技,2
226,森 凛,3-1,9,獣医師と動物たち,2,11,マンガ家になるには,1
227,前田 大翔,3-1,28,大工とものづくり,2,15,美容師・ヘアメイク,1
228,山本 大翔,3-1,30,起業家の挑戦,2,11,マンガ家になるには,1
229,吉田 愛莉,3-1,7,警察官の仕事,1,12,プロサッカー選手の話,3
230,林 湊,3-1,25,科学者の研究生活,3,8,宇宙とロケット開発,1
231,吉田 蓮,3-1,2,ゲームクリエイターの仕事,1,22,銀行と金融のしくみ,4
232,伊藤 芽依,3-1,21,料理人の技,3,4,パティシエ体験,1
233,藤田 拓海,3-1,20,パイロットの視点,1,18,保育士の仕事,3
234,石川 大和,3-1,20,パイロットの視点,2,8,宇宙とロケット開発,1
235,阿部 千尋,3-2,5,看護師のリアル,2,19,鉄道運転士の仕事,1
236,佐々木 颯太,3-2,20,パイロットの視点,2,30,起業家の挑戦,4
237,山崎 悠人,3-2,30,起業家の挑戦,4,4,パティシエ体験,1
238,山田 拓海,3-2,17,薬剤師と薬のはなし,2,6,消防士の一日,3
239,石田 遥,3-2,21,料理人の技,3,15,美容師・ヘアメイク,1
240,渡辺 樹,3-2,17,薬剤師と薬のはなし,3,22,銀行と金融のしくみ,2
241,石井 遥,3-2,6,消防士の一日,1,30,起業家の挑戦,2
242,村上 悠人,3-2,29,公務員の仕事,2,2,ゲームクリエイターの仕事,1
243,小林 七海,3-2,24,環境保護とSDGs,2,17,薬剤師と薬のはなし,3
244,清水 陽菜,3-2,25,科学者の研究生活,2,15,美容師・ヘアメイク,1
245,斎藤 大翔,3-2,4,パティシエ体験,1,28,大工とものづくり,2
246,清水 琴音,3-2,5,看護師のリアル,1,17,薬剤師と薬のはなし,3
247,加藤 陽菜,3-2,16,新聞記者の取材現場,1,15,美容師・ヘアメイク,2
248,鈴木 大翔,3-2,18,保育士の仕事,3,24,環境保護とSDGs,2
249,鈴木 翼,3-2,10,建築デザインの世界,4,2,ゲームクリエイターの仕事,1
250,井上 美咲,3-2,26,ファッションデザイン,1,16,新聞記者の取材現場,2
251,山口 翔,3-2,6,消防士の一日,1,12,プロサッカー選手の話,3
252,小林 拓海,3-2,6,消防士の一日,2,24,環境保護とSDGs,3
253,藤田 芽依,3-2,3,YouTube動画のつくり方,2,16,新聞記者の取材現場,1
254,石井 芽依,3-2,4,パティシエ体験,1,28,大工とものづくり,3
255,山崎 葵,3-2,29,公務員の仕事,1,23,翻訳・通訳の世界,3
256,鈴木 大翔,3-2,15,美容師・ヘアメイク,2,20,パイロットの視点,1
257,池田 湊,3-2,28,大工とものづくり,1,15,美容師・ヘアメイク,2
258,岡田 莉子,3-2,15,美容師・ヘアメイク,2,26,ファッションデザイン,3
259,橋本 美咲,3-2,11,マンガ家になるには,3,16,新聞記者の取材現場,1
260,石田 莉子,3-2,9,獣医師と動物たち,2,18,保育士の仕事,3
261,藤井 琴音,3-2,2,ゲームクリエイターの仕事,1,15,美容師・ヘアメイク,2
262,森 千尋,3-2,29,公務員の仕事,2,9,獣医師と動物たち,3
263,長谷川 悠真,3-2,20,パイロットの視点,2,28,大工とものづくり,1
264,小川 陸,3-2,2,ゲームクリエイターの仕事,1,7,警察官の仕事,3
265,藤井 心春,3-2,7,警察官の仕事,3,16,新聞記者の取材現場,2
266,岡田 蓮,3-2,14,農業とスマート農業,3,15,美容師・ヘアメイク,2
267,鈴木 杏,3-2,8,宇宙とロケット開発,1,22,銀行と金融のしくみ,4
268,坂本 咲良,3-2,13,弁護士のお仕事,1,21,料理人の技,3
269,中村 葵,3-3,24,環境保護とSDGs,3,19,鉄道運転士の仕事,1
270,石井 太陽,3-3,1,プログラミング入門,1,6,消防士の一日,2
271,田中 結翔,3-3,20,パイロットの視点,1,25,科学者の研究生活,3
272,阿部 大和,3-3,18,保育士の仕事,2,30,起業家の挑戦,3
273,木村 琴音,3-3,29,公務員の仕事,1,13,弁護士のお仕事,2
274,清水 莉子,3-3,14,農業とスマート農業,1,29,公務員の仕事,2
275,林 莉子,3-3,14,農業とスマート農業,2,18,保育士の仕事,3
276,池田 陸,3-3,4,パティシエ体験,1,30,起業家の挑戦,-
277,木村 健太,3-3,6,消防士の一日,1,12,プロサッカー選手の話,4
278,林 結翔,3-3,24,環境保護とSDGs,2,18,保育士の仕事,4
279,村上 咲良,3-3,3,YouTube動画のつくり方,1,14,農業とスマート農業,-
280,小林 陽翔,3-3,10,建築デザインの世界,3,3,YouTube動画のつくり方,4
281,岡田 健太,3-3,26,ファッションデザイン,4,29,公務員の仕事,1
282,渡辺 遥,3-3,6,消防士の一日,3,20,パイロットの視点,2
283,山田 さくら,3-3,5,看護師のリアル,1,24,環境保護とSDGs,3
284,石川 翼,3-3,30,起業家の挑戦,4,26,ファッションデザイン,1
285,高橋 陽翔,3-3,25,科学者の研究生活,3,4,パティシエ体験,1
286,小川 拓真,3-3,6,消防士の一日,1,7,警察官の仕事,4
287,林 葵,3-3,16,新聞記者の取材現場,1,26,ファッションデザイン,2
288,森 莉子,3-3,22,銀行と金融のしくみ,1,7,警察官の仕事,2
289,石川 七海,3-3,20,パイロットの視点,2,18,保育士の仕事,1
290,小林 健太,3-3,23,翻訳・通訳の世界,-,16,新聞記者の取材現場,1
291,清水 楓,3-3,20,パイロットの視点,3,6,消防士の一日,1
292,清水 陽菜,3-3,19,鉄道運転士の仕事,1,1,プログラミング入門,2
293,清水 颯太,3-3,10,建築デザインの世界,1,26,ファッションデザイン,3
294,小林 健太,3-3,28,大工とものづくり,2,19,鉄道運転士の仕事,1
295,岡田 拓真,3-3,10,建築デザインの世界,3,17,薬剤師と薬のはなし,4
296,青木 大翔,3-3,22,銀行と金融のしくみ,1,23,翻訳・通訳の世界,2
297,石田 太陽,3-3,16,新聞記者の取材現場,1,8,宇宙とロケット開発,2
298,山口 楓,3-3,12,プロサッカー選手の話,4,16,新聞記者の取材現場,2
299,小林 太陽,3-3,14,農業とスマート農業,1,12,プロサッカー選手の話,3
300,鈴木 美咲,3-3,18,保育士の仕事,2,10,建築デザインの世界,1
